id,category,title,visualType,visualItem,operandA,operandB,operator,correctAnswer,timerSeconds,optionsText,explanation
"q_math_penjumlahan_1","penjumlahan","Berapakah jumlah semua 🎈 jika digabungkan?","emoji","🎈",3,1,"+",4,20,"","3 ditambah 1 hasilnya adalah 4!"
"q_math_penjumlahan_2","penjumlahan","Berapakah jumlah semua ⭐️ jika digabungkan?","emoji","⭐️",1,3,"+",4,20,"","1 ditambah 3 hasilnya adalah 4!"
"q_math_penjumlahan_3","penjumlahan","Berapakah jumlah semua 🍩 jika digabungkan?","emoji","🍩",1,4,"+",5,20,"","1 ditambah 4 hasilnya adalah 5!"
"q_math_penjumlahan_4","penjumlahan","Berapakah jumlah semua 🚗 jika digabungkan?","emoji","🚗",2,2,"+",4,20,"","2 ditambah 2 hasilnya adalah 4!"
"q_math_penjumlahan_5","penjumlahan","Berapakah jumlah semua 🐰 jika digabungkan?","emoji","🐰",3,2,"+",5,20,"","3 ditambah 2 hasilnya adalah 5!"
"q_math_penjumlahan_6","penjumlahan","Berapakah jumlah semua 🍬 jika digabungkan?","emoji","🍬",2,1,"+",3,20,"","2 ditambah 1 hasilnya adalah 3!"
"q_math_penjumlahan_7","penjumlahan","Berapakah jumlah semua 🐥 jika digabungkan?","emoji","🐥",2,5,"+",7,20,"","2 ditambah 5 hasilnya adalah 7!"
"q_math_penjumlahan_8","penjumlahan","Berapakah jumlah semua 🍦 jika digabungkan?","emoji","🍦",6,2,"+",8,20,"","6 ditambah 2 hasilnya adalah 8!"
"q_math_penjumlahan_9","penjumlahan","Berapakah jumlah semua 🌸 jika digabungkan?","emoji","🌸",2,3,"+",5,20,"","2 ditambah 3 hasilnya adalah 5!"
"q_math_penjumlahan_10","penjumlahan","Berapakah jumlah semua 🍓 jika digabungkan?","emoji","🍓",2,1,"+",3,20,"","2 ditambah 1 hasilnya adalah 3!"
"q_math_penjumlahan_11","penjumlahan","Berapakah jumlah semua 🐢 jika digabungkan?","emoji","🐢",1,1,"+",2,20,"","1 ditambah 1 hasilnya adalah 2!"
"q_math_penjumlahan_12","penjumlahan","Berapakah jumlah semua 🚀 jika digabungkan?","emoji","🚀",2,5,"+",7,20,"","2 ditambah 5 hasilnya adalah 7!"
"q_math_penjumlahan_13","penjumlahan","Berapakah jumlah semua 🐼 jika digabungkan?","emoji","🐼",1,4,"+",5,20,"","1 ditambah 4 hasilnya adalah 5!"
"q_math_penjumlahan_14","penjumlahan","Berapakah jumlah semua 🍰 jika digabungkan?","emoji","🍰",1,2,"+",3,20,"","1 ditambah 2 hasilnya adalah 3!"
"q_math_penjumlahan_15","penjumlahan","Berapakah jumlah semua 🐱 jika digabungkan?","emoji","🐱",6,1,"+",7,20,"","6 ditambah 1 hasilnya adalah 7!"
